ID,Título,Dirección,Código Postal,Localidad,Descripción,Accesibilidad,Servicios,Teléfonos,Emails,URLs,Horarios,Transportes
https://datos.madrid.es/egob/catalogo/tipo/evento/12387966-actividades-centro-juvenil-ouka-leele-junio-2024-.json,Actividades en el centro juvenil 'Ouka Leele'. Junio 2024.,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12272855-actividades-centro-juvenil-pipo-velasco-junio-2024-.json,Actividades en el centro juvenil 'Pipo Velasco'. Junio 2024.,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386717-acuatlon.json,Acuatlón,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12102925-autoproteccion-mujeres-temporada-2023-2024.json,Autoprotección para mujeres - Temporada 2023-2024,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12360012-campamentos-urbanos-verano-2024-ninos-nacidos-2008-2011.json,Campamentos urbanos verano 2024 para niños nacidos entre 2008-2011,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12359983-campamentos-urbanos-verano-2024-ninos-nacidos-2012-2020.json,Campamentos urbanos verano 2024 para niños nacidos entre 2012-2020,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/11441198-ciclismo-madrid.json,Ciclismo por Madrid,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386714-clase-calistenia.json,Clase de Calistenia,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/11234187-correr-madrid.json,Correr por Madrid,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12387787-correr-glu10.json,Correr SIN GLU10,N/A,N/A,N/A,N/A,2,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12378284-curso-intensivo-golf-adultos-barajas-.json,Curso intensivo de golf para adultos (Barajas),N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386724-dia-rugby.json,Día del Rugby,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12381573-dia-internacional-yoga.json,Día Internacional del Yoga,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386746-entrega-premios-44-juegos-deportivos-municipales-copa-primavera-torneos-distrito.json,"ENTREGA DE PREMIOS DE LOS 44 JUEGOS DEPORTIVOS MUNICIPALES, COPA DE PRIMAVERA Y TORNEOS DEL DISTRITO",N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12387950-esports-sports-3vs3.json,Esports + Sports 3vs3,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386745-finales-juegos-deportivos-municipales.json,FINALES JUEGOS DEPORTIVOS MUNICIPALES,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12383998-gran-carrera-infantil-juvenil-arganzuela.json,Gran carrera infantil y juvenil Arganzuela,N/A,N/A,N/A,N/A,2,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12381581-jornada-deporte-urbano-bmx-calistenia.json,Jornada deporte urbano BMX + Calistenia,N/A,N/A,N/A,N/A,0,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/11445886-marcha-nordica.json,Marcha nórdica,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12388102-open-nacional-taekwondo-villa-madrid.json,Open Nacional de Taekwondo Villa de Madrid,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/11748362-piraguismo-madrid.json,Piragüismo por Madrid,N/A,N/A,N/A,N/A,2,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386711-scapebox.json,Scapebox,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386720-torneo-baloncesto.json,Torneo de baloncesto,N/A,N/A,N/A,N/A,0,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386739-torneo-futbol.json,Torneo de fútbol,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386730-torneo-futbol-fiestas.json,Torneo de Fútbol de las Fiestas,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386733-torneo-padel.json,Torneo de Pádel,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386727-torneo-pickleball.json,Torneo de Pickleball,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386721-torneo-voley-hierba.json,Torneo de Vóley Hierba,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12386736-torneo-voley-playa.json,Torneo de vóley playa,N/A,N/A,N/A,N/A,0,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12380419-tour-universo-mujer-plaza-espana.json,Tour Universo Mujer - Plaza España,N/A,N/A,N/A,N/A,N/A,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/11445019-triatlon-madrid.json,Triatlón por Madrid,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/12065968-triatlon-madrid.json,Triatlón por Madrid,N/A,N/A,N/A,N/A,1,,,,,N/A,
https://datos.madrid.es/egob/catalogo/tipo/evento/11445194-triatlon-madrid.json,Triatlón por Madrid,N/A,N/A,N/A,N/A,1,,,,,N/A,
