,Name,Composer,Name
0,For Those About To Rock (We Salute You),"Angus Young, Malcolm Young, Brian Johnson",Rock
1,Balls to the Wall,,Rock
2,Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",Rock
3,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",Rock
4,Princess of the Dawn,Deaffy & R.A. Smith-Diesel,Rock
5,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",Rock
6,Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",Rock
7,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",Rock
8,Snowballed,"Angus Young, Malcolm Young, Brian Johnson",Rock
9,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",Rock
10,C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",Rock
11,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",Rock
12,Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",Rock
13,Spellbound,"Angus Young, Malcolm Young, Brian Johnson",Rock
14,Go Down,AC/DC,Rock
15,Dog Eat Dog,AC/DC,Rock
16,Let There Be Rock,AC/DC,Rock
17,Bad Boy Boogie,AC/DC,Rock
18,Problem Child,AC/DC,Rock
19,Overdose,AC/DC,Rock
20,Hell Ain't A Bad Place To Be,AC/DC,Rock
21,Whole Lotta Rosie,AC/DC,Rock
22,Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",Rock
23,Love In An Elevator,"Steven Tyler, Joe Perry",Rock
24,Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",Rock
25,What It Takes,"Steven Tyler, Joe Perry, Desmond Child",Rock
26,Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",Rock
27,Janie's Got A Gun,"Steven Tyler, Tom Hamilton",Rock
28,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",Rock
29,Amazing,"Steven Tyler, Richie Supa",Rock
30,Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes",Rock
31,Deuces Are Wild,"Steven Tyler, Jim Vallance",Rock
32,The Other Side,"Steven Tyler, Jim Vallance",Rock
33,Crazy,"Steven Tyler, Joe Perry, Desmond Child",Rock
34,Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance",Rock
35,Angel,"Steven Tyler, Desmond Child",Rock
